impl,tile,threads,trial,time_s
cblur_seq,,,0,55.057
cblur_seq,,,1,55.056
cblur_seq,,,2,54.458
cblur_seq,,,3,55.062
cblur_tiled,32,,0,56.084
cblur_tiled,64,,0,57.300
cblur_tiled,64,,1,57.361
cblur_tiled,64,,2,58.357
cblur_tiled,64,,3,57.298
cblur_tiled,128,,0,56.801
cblur_tiled,512,,0,58.268
cblur_tiled,512,,1,56.374
cblur_tiled,512,,2,56.937
cblur_tiled,512,,3,55.923
cblur_tiled,1024,,0,55.123
cblur_tiled,2048,,0,51.803
cblur_tiled,2048,,1,51.181
cblur_tiled,2048,,2,51.651
cblur_tiled,2048,,3,51.713
cblur_tiled,4096,,0,51.725
cblur_tiled,4096,,1,51.692
cblur_tiled,4096,,2,52.646
cblur_tiled,4096,,3,51.805
cblur_tiled,8192,,0,64.140
cblur_tiled,8192,,1,64.027
cblur_tiled,8192,,2,65.067
cblur_tiled,8192,,3,65.074
cblur_omp_def,64,,0,67.197
cblur_omp_def,64,,1,70.829
cblur_omp_def,64,,2,69.628
cblur_omp_def,64,,3,69.243
cblur_omp_def,128,,0,66.024
cblur_omp_def,128,,1,67.718
cblur_omp_def,128,,2,68.359
cblur_omp_def,128,,3,68.906
cblur_omp_def,512,,0,65.469
cblur_omp_def,512,,1,68.206
cblur_omp_def,512,,2,67.072
cblur_omp_def,512,,3,66.091
cblur_omp_def,1024,,0,65.569
cblur_omp_def,1024,,1,64.908
cblur_omp_def,2048,,0,63.541
cblur_omp_def,4096,,0,56.945
cblur_omp_def,4096,,1,58.606
cblur_omp_def,4096,,2,57.941
cblur_omp_def,4096,,3,59.216
cblur_omp_def,8192,,0,63.757
cblur_omp_def,8192,,1,64.158
cblur_omp_def,8192,,2,64.802
cblur_omp_def,8192,,3,64.774
cblur_omp,64,2,0,57.552
cblur_omp,64,2,1,57.391
cblur_omp,64,2,2,57.365
cblur_omp,64,2,3,57.708
cblur_omp,64,4,0,59.849
cblur_omp,64,4,1,58.915
cblur_omp,64,4,2,59.032
cblur_omp,64,4,3,58.227
cblur_omp,64,8,0,61.403
cblur_omp,64,8,1,61.356
cblur_omp,64,8,2,63.333
cblur_omp,64,8,3,65.077
cblur_omp,128,4,0,58.286
cblur_omp,512,2,0,61.401
cblur_omp,512,2,1,59.773
cblur_omp,512,2,2,60.155
cblur_omp,512,2,3,59.521
cblur_omp,512,4,0,58.584
cblur_omp,512,4,1,59.140
cblur_omp,512,4,2,60.210
cblur_omp,512,4,3,59.209
cblur_omp,512,8,0,60.844
cblur_omp,512,8,1,62.806
cblur_omp,512,8,2,61.731
cblur_omp,512,8,3,62.253
cblur_omp,1024,8,0,61.797
cblur_omp,1024,4,0,58.482
cblur_omp,1024,2,0,60.270
cblur_omp,2048,2,1,58.184
cblur_omp,2048,4,0,54.506
cblur_omp,2048,4,1,56.234
cblur_omp,2048,4,2,56.251
cblur_omp,2048,8,0,56.487
cblur_omp,4096,2,0,54.697
cblur_omp,4096,2,1,55.625
cblur_omp,4096,2,2,56.743
cblur_omp,4096,2,3,53.803
cblur_omp,4096,4,0,53.715
cblur_omp,4096,4,1,56.073
cblur_omp,4096,4,2,53.954
cblur_omp,4096,4,3,56.043
cblur_omp,4096,8,0,55.430
cblur_omp,4096,8,1,55.228
cblur_omp,4096,8,2,56.409
cblur_omp,4096,8,3,56.657
cblur_omp,8192,2,0,64.037
cblur_omp,8192,2,1,64.228
cblur_omp,8192,2,2,63.737
cblur_omp,8192,2,3,64.237
cblur_omp,8192,4,0,64.283
cblur_omp,8192,4,1,63.760
cblur_omp,8192,4,2,64.728
cblur_omp,8192,4,3,64.826
cblur_omp,8192,8,0,64.324
cblur_omp,8192,8,1,64.145
cblur_omp,8192,8,2,65.170
cblur_omp,8192,8,3,65.189
casper_def,,,0,40.086
casper_def,,,1,40.324
casper_def,,,2,39.326
casper_def,,,3,40.160
casper,,,0,13.043
casper,,,1,14.237
casper,,,2,14.238
casper,,,3,14.237
