nodes,threads,mesh,trial,time_s
1,0,128,358.466
1,2,128,96.772
1,4,128,60.984
1,8,128,49.603
1,16,128,40.513
1,42,256,0,87.159
1,42,256,1,86.432
1,42,256,2,87.397
1,32,256,0,82.585
1,32,256,1,86.445
1,24,256,0,91.894
1,24,256,1,88.760
1,16,256,0,97.509
1,16,256,1,97.983
1,8,256,0,142.164
1,8,256,1,144.439
1,4,256,0,245.968
1,4,256,1,245.490
1,2,256,0,454.294
1,2,256,1,454.234
1,1,256,0,873.601
1,1,256,1,872.321
1,42,512,0,370.202
1,32,512,0,321.582
1,24,512,0,331.319
1,16,512,0,706.322
1,42,1024,0,1691.212
1,42,1024,1,1426.983
1,24,1024,0,1364.124
1,12,1024,0,1901.610
