,Unnamed: 0,rank,mesh,ranks,ranks_per_node,mesh_s,mesh_peakmem_mb,setup_s,setup_peakmem_mb,solve_s,solve_peakmem_mb,total_s,version,timesteps,dt,max_iters,kern_0,kern_1,kern_2,SchurInv_kern
5,5,0,4096,1384,41,326.3029143810272,11753.4375,3.776060104370117,11753.4375,3.5746068954467773,11753.4375,333.6535813808441,release,,,,,,,
6,6,0,4096,2768,41,374.5685694217682,11884.375,5.071152210235596,11884.375,3.085169792175293,11884.375,382.7248914241791,release,,,,,,,
7,7,0,4096,346,41,269.7521390914917,11671.6875,4.254391431808472,11671.6875,5.403386116027832,11671.6875,279.409916639328,release,,,,,,,
8,8,0,4096,42,41,253.84441566467285,11799.9375,17.33704972267151,11799.9375,34.619091749191284,11799.9375,305.80055713653564,release,,,,,,,
9,9,0,4096,692,41,285.0842206478119,11733.625,4.37191367149353,11733.625,3.876401901245117,11733.625,293.33253622055054,release,,,,,,,
10,10,0,4096,84,41,255.29615139961243,11705.8125,9.52465009689331,11705.8125,17.048205375671387,11705.8125,281.8690068721771,release,,,,,,,
18,0,0,4096,1384,42,347.7855634689331,11877.9375,3.689455509185791,11877.9375,3.558112859725952,11877.9375,355.03313183784485,master,1.0,5e-06,100.0,0.0065629290184006,0.008323268033564,1.528998836874962e-06,1.6919128171284683
19,1,0,4096,168,42,279.6019525527954,11760.125,6.85608983039856,11760.125,6.627556800842285,11760.125,293.08559918403625,master,1.0,5e-06,100.0,0.0525220399722456,0.0079653480206616,1.6170088201761246e-06,3.6651368441525847
20,2,0,4096,2768,42,402.3145694732666,11947.5,4.347367286682129,11947.5,4.124692916870117,11947.5,410.7866296768189,master,1.0,5e-06,100.0,0.0034457549918442,0.0039657290326431,1.4709657989442348e-06,0.7411519417655654
21,3,0,4096,346,42,291.6047625541687,11749.625,4.614999532699585,11749.625,4.700029134750366,11749.625,300.91979122161865,master,1.0,5e-06,100.0,0.0259521419648081,0.0221608479623682,1.501990482211113e-06,2.4018773278803565
22,4,0,4096,42,42,301.03810262680054,11909.75,16.729692935943604,11909.75,26.431800603866577,11909.75,344.1995961666107,master,1.0,5e-06,100.0,0.2108716139919124,0.0103617869899608,2.4139881134033203e-06,16.344833741080947
23,5,0,4096,692,42,326.3019642829895,11806.875,4.095320701599121,11806.875,4.522611856460571,11806.875,334.9198968410492,master,1.0,5e-06,100.0,0.013210715027526,0.0181716139777563,1.3890094123780727e-06,1.562959544418845
24,6,0,4096,84,42,272.9313807487488,11816.875,8.865847826004028,11816.875,12.504809141159058,11816.875,294.30203771591187,master,1.0,5e-06,100.0,0.1053135870024561,0.0068709949846379,2.3129978217184544e-06,7.517225740069989
