mesh,ranks,ranks_per_node,mesh_s,setup_s,solve_s,total_s
96,16,64,1.7062525749206543,7.06892728805542,56.76044797897339,65.53562784194946
96,32,64,2.673891544342041,6.1355085372924805,45.57957577705383,54.388975858688354
96,4,64,0.7388350963592529,8.037362813949585,74.3568606376648,83.13305854797363
96,64,64,4.619760990142822,4.393859148025513,39.14469242095947,48.15831255912781
96,8,64,1.1531214714050293,7.622330904006958,72.09781408309937,80.87326645851135
256,32,64,4.820244312286377,5.835612773895264,106.13635516166687,116.79221224784851
256,48,64,5.910443544387817,4.859081029891968,100.96146726608276,111.73099184036255
256,64,64,7.884379148483276,4.413211822509766,96.85033464431763,109.14792561531067
512,48,64,14.314968824386597,4.9268715381622314,213.21797513961792,232.45981550216675
512,64,64,16.517967700958252,5.919644832611084,193.39181184768677,215.8294243812561
512,96,64,17.98112154006958,4.598710298538208,225.97815585136414,248.55798768997192
1024,128,64,60.69497466087341,6.992428302764893,394.37453961372375,462.06194257736206
1024,96,64,53.36007809638977,6.665760517120361,408.92635679244995,468.9521954059601
2048,128,64,210.96431064605713,10.683624029159546,1307.8334376811981,1529.4813723564148
2048,256,64,226.628990650177,7.140837907791138,915.8125755786896,1149.5824041366577
2048,320,64,233.35237908363342,8.254819393157959,802.1809601783752,1043.7881586551666
2048,384,64,245.75092363357544,6.040603399276733,733.7515399456024,985.5430669784546
2048,512,64,247.96584177017212,5.869651556015015,707.5385007858276,961.3739941120148
2048,768,64,260.7834527492523,12.102039098739624,706.9602990150452,979.8457908630371
4096,128,64,891.2147650718689,25.813207387924194,4342.343634605408,5259.371607065201
4096,256,64,1031.0010914802551,12.954883098602295,2504.7188777923584,3548.674852371216
4096,320,64,960.6404683589935,11.302078485488892,2127.3519003391266,3099.294447183609
4096,384,64,949.908771276474,11.116164922714233,1889.8334801197052,2850.8584163188934
4096,448,64,961.2394027709961,9.283727884292603,1746.5675628185272,2717.090693473816
4096,512,64,964.3661487102509,9.717118501663208,1553.6376509666443,2527.7209181785583
4096,768,64,1005.7252171039581,16.605621099472046,1223.0477311611176,2245.3785693645477
