solver,mesh,nproc,nthread,time
mumps,384,1,1,67.25684189796448
mumps,384,1,2,64.56306982040405
mumps,384,1,4,68.7586317062378
mumps,384,1,6,76.78519058227539
mumps,384,1,8,85.11154174804688
mumps,384,1,12,160.92148518562317
mumps,384,1,16,110.80772423744202
mumps,384,1,24,214.73632144927979
mumps,384,1,32,232.55550861358643
mumps,384,2,1,42.133859395980835
mumps,384,2,2,40.04597473144531
mumps,384,2,4,46.06531596183777
mumps,384,2,6,49.63967251777649
mumps,384,2,8,58.626479387283325
mumps,384,2,12,109.32588577270508
mumps,384,2,16,65.60575914382935
mumps,384,4,1,28.706023931503296
mumps,384,4,2,28.82344150543213
mumps,384,4,4,34.871453046798706
mumps,384,4,6,45.85935020446777
mumps,384,4,8,34.13579225540161
mumps,384,6,1,25.63212513923645
mumps,384,6,2,22.781963109970093
mumps,384,6,4,28.167268753051758
mumps,384,8,1,22.718299865722656
mumps,384,8,2,23.863646745681763
mumps,384,8,4,23.398707389831543
mumps,384,12,1,19.429750442504883
mumps,384,12,2,20.75977921485901
mumps,384,16,1,24.643126726150513
mumps,384,16,2,18.612959623336792
mumps,384,24,1,21.04238247871399
mumps,384,32,1,19.685020685195923
superlu_dist,384,1,1,85.70168948173523
superlu_dist,384,1,2,72.87886595726013
superlu_dist,384,1,4,65.23050737380981
superlu_dist,384,1,6,63.76592540740967
superlu_dist,384,1,8,64.20481157302856
superlu_dist,384,1,12,86.62487959861755
superlu_dist,384,1,16,69.98228669166565
superlu_dist,384,1,24,114.71177315711975
superlu_dist,384,1,32,105.44338321685791
superlu_dist,384,2,1,57.465166091918945
superlu_dist,384,2,2,52.64641237258911
superlu_dist,384,2,4,50.836984157562256
superlu_dist,384,2,6,50.995516300201416
superlu_dist,384,2,8,53.76883411407471
superlu_dist,384,2,12,62.632853507995605
superlu_dist,384,2,16,53.701868772506714
superlu_dist,384,4,1,48.1163113117218
superlu_dist,384,4,2,45.404314279556274
superlu_dist,384,4,4,50.744964838027954
superlu_dist,384,4,6,66.4639482498169
superlu_dist,384,4,8,45.765063762664795
superlu_dist,384,6,1,43.27962589263916
superlu_dist,384,6,2,38.69425892829895
superlu_dist,384,6,4,48.812846422195435
superlu_dist,384,8,1,41.902104139328
superlu_dist,384,8,2,43.454763889312744
superlu_dist,384,8,4,40.89797925949097
superlu_dist,384,12,1,36.58796000480652
superlu_dist,384,12,2,38.79876899719238
superlu_dist,384,16,1,57.832212686538696
superlu_dist,384,16,2,37.526710748672485
superlu_dist,384,24,1,51.55142068862915
superlu_dist,384,32,1,49.93945550918579
