mesh,solver,ntasks,ntasks_per_node,threads,runtime
256,mumps,16,8,1,22.119718313217163
512,mumps,16,8,1,85.00147533416748
256,superlu_dist,16,8,1,29.19619846343994
512,superlu_dist,16,8,1,121.40794038772583
256,pastix,16,8,1,409.8948287963867
256,mumps,1,8,1,58.63787317276001
512,mumps,1,8,1,199.91093373298645
256,superlu_dist,1,8,1,49.47074818611145
512,superlu_dist,1,8,1,229.5767080783844
256,pastix,1,8,1,85.98875212669373
512,pastix,1,8,1,370.6354007720947
256,mumps,32,8,1,22.85421109199524
512,mumps,32,8,1,65.18198609352112
256,superlu_dist,32,8,1,31.17661762237549
512,superlu_dist,32,8,1,97.36548638343811
256,pastix,32,8,1,425.6475729942322
256,mumps,64,8,1,29.516716480255127
512,mumps,64,8,1,64.88784313201904
256,superlu_dist,64,8,1,49.75167155265808
512,superlu_dist,64,8,1,152.804869890213
256,pastix,64,8,1,440.0938627719879
256,mumps,8,8,1,35.48986506462097
512,mumps,8,8,1,153.11541438102722
256,superlu_dist,8,8,1,30.953529357910156
512,superlu_dist,8,8,1,172.31558346748352
256,pastix,8,8,1,400.2782940864563
1024,mumps,16,8,1,592.3448882102966
1024,mumps,1,8,1,1020.4967226982117
1024,mumps,32,8,1,315.49865436553955
1024,mumps,64,8,1,243.0856056213379
1024,mumps,8,8,1,1609.3925158977509
2048,mumps,64,8,1,1321.3438696861267
256,mumps,16,4,1,23.155352354049683
512,mumps,16,4,1,83.81878685951233
256,superlu_dist,16,4,1,29.513751983642578
512,superlu_dist,16,4,1,111.87344098091125
256,pastix,16,4,1,221.70018601417542
256,mumps,32,4,1,22.795578479766846
512,mumps,32,4,1,65.32736539840698
256,superlu_dist,32,4,1,33.60347890853882
512,superlu_dist,32,4,1,100.67156076431274
256,pastix,32,4,1,223.89872694015503
256,mumps,4,4,1,47.31940054893494
512,mumps,4,4,1,404.1123957633972
256,superlu_dist,4,4,1,46.34501934051514
512,superlu_dist,4,4,1,426.02238488197327
256,pastix,4,4,1,228.00785303115845
256,mumps,64,4,1,38.58348059654236
512,mumps,64,4,1,67.9933340549469
256,superlu_dist,64,4,1,67.65685200691223
512,superlu_dist,64,4,1,139.4061176776886
256,pastix,64,4,1,260.39642453193665
256,mumps,8,4,1,41.06397604942322
512,mumps,8,4,1,156.54118990898132
256,superlu_dist,8,4,1,30.80803871154785
512,superlu_dist,8,4,1,179.85723209381104
256,pastix,8,4,1,222.05210733413696
1024,mumps,128,8,1,236.17547917366028
2048,mumps,128,8,1,1013.3935205936432
2560,mumps,128,8,1,1817.6433944702148
2048,mumps,256,8,1,985.6046199798584
2560,mumps,256,8,1,1643.486878156662
1024,superlu_dist,8,2,1,1694.4049818515778
1024,superlu_dist,16,2,1,787.99294090271
1024,superlu_dist,32,2,1,410.9677517414093
1024,superlu_dist,64,2,1,456.8097794055939
1024,superlu_dist,32,4,1,441.0068440437317
1024,superlu_dist,64,4,1,485.48311400413513
1024,superlu_dist,128,4,1,722.2047281265259
1024,superlu_dist,16,1,1,846.0198438167572
1024,superlu_dist,32,1,1,401.3199779987335
1024,superlu_dist,8,1,1,1848.2297868728638
2560,mumps,512,8,1,1629.7292973995209
2560,mumps,768,8,1,1724.6941919326782
512,mumps,16,1,1,87.14591670036316
512,superlu_dist,16,1,1,113.01978588104248
512,mumps,1,1,1,196.60364961624146
512,superlu_dist,1,1,1,232.3693015575409
512,mumps,2,1,1,1370.7795314788818
512,superlu_dist,2,1,1,1406.404316663742
512,mumps,32,1,1,77.32620167732239
512,superlu_dist,32,1,1,123.00142502784729
512,mumps,4,1,1,410.355162858963
512,superlu_dist,4,1,1,450.4165470600128
512,mumps,64,1,1,75.22818207740784
512,superlu_dist,64,1,1,129.80105566978455
512,mumps,8,1,1,157.29105234146118
512,superlu_dist,8,1,1,184.9759132862091
512,mumps,96,1,1,70.82230114936829
512,superlu_dist,96,1,1,135.17019653320312
512,mumps,16,2,1,85.2352888584137
512,superlu_dist,16,2,1,112.97916626930237
512,mumps,1,2,1,194.94880557060242
512,superlu_dist,1,2,1,229.56736493110657
512,mumps,2,2,1,1375.9122986793518
512,superlu_dist,2,2,1,1399.4962975978851
512,mumps,32,2,1,71.54138517379761
512,superlu_dist,32,2,1,114.82834339141846
512,mumps,4,2,1,414.9925625324249
512,superlu_dist,4,2,1,446.9517230987549
512,mumps,64,2,1,63.47475624084473
512,superlu_dist,64,2,1,116.23764729499817
512,mumps,8,2,1,154.53387022018433
512,superlu_dist,8,2,1,180.04947447776794
512,mumps,96,2,1,71.83337616920471
512,superlu_dist,96,2,1,146.7712860107422
512,mumps,16,4,1,81.45711517333984
512,superlu_dist,16,4,1,110.4824526309967
512,mumps,1,4,1,197.1064636707306
512,superlu_dist,1,4,1,234.66343808174133
512,mumps,2,4,1,1373.6428318023682
512,superlu_dist,2,4,1,1399.191427230835
512,mumps,32,4,1,69.61370873451233
512,superlu_dist,32,4,1,102.09406447410583
512,mumps,4,4,1,408.49846363067627
512,superlu_dist,4,4,1,429.11634135246277
512,mumps,64,4,1,64.55012226104736
512,superlu_dist,64,4,1,136.68257546424866
512,mumps,8,4,1,152.2900915145874
512,superlu_dist,8,4,1,179.62929725646973
512,mumps,96,4,1,65.75568628311157
512,superlu_dist,96,4,1,168.916198015213
512,mumps,16,8,1,84.3458297252655
512,superlu_dist,16,8,1,110.23079514503479
512,mumps,1,8,1,195.67694926261902
512,superlu_dist,1,8,1,230.4266426563263
512,mumps,2,8,1,1376.0774493217468
512,superlu_dist,2,8,1,1428.2101984024048
512,mumps,32,8,1,67.70327377319336
512,superlu_dist,32,8,1,99.60004615783691
512,mumps,4,8,1,405.8335542678833
512,superlu_dist,4,8,1,426.89778661727905
512,mumps,64,8,1,89.63890480995178
512,superlu_dist,64,8,1,138.49568462371826
512,mumps,8,8,1,152.25725960731506
512,superlu_dist,8,8,1,172.49550342559814
512,mumps,96,8,1,69.55905437469482
512,superlu_dist,96,8,1,258.65005826950073
