ninput_dim,ninput,nproc,nodes,time_s
64,37507,1,1,1.31
90,73803,1,1,2.42
128,148739,1,1,6
128,148739,1,1,6.01
181,296662,1,1,15.3
256,592387,1,1,40.4
256,592387,1,1,43
256,592387,2,2,28
256,592387,4,4,20
256,592387,8,8,12
256,592387,16,8,10
360,1170003,1,1,117.20
360,1170003,4,4,43
360,1170003,8,8,33
360,1170003,16,8,23
360,1170003,32,8,18
360,1170003,64,8,17
512,2364419,1,1,
512,2364419,16,8,60
512,2364419,32,8,43
512,2364419,48,8,38
722,2364419,64,8,84
722,2364419,128,8,72
722,2364419,192,8,73
1024,9447427,128,8,167
1024,9447427,192,8,152
1024,9447427,256,8,154
1448,18884819,256,8,344




