mesh,matrix,prob_size_seq,tasks,tasks_per_node,time_s
64,37507,0,1,1,1.31
64,37507,0,1,2,
90,73803,0,1,1,2.42
128,148739,0,1,1,6
128,148739,0,1,1,6.01
128,148739,0,2,2,4.38
128,148739,0,4,4,2.89
128,148739,0,8,8,2.41
146,193307,2,1,1,9.86
146,193307,2,4,4,4.08
146,193307,1,8,8,3.13
181,296662,0,1,1,15.3
181,296662,0,2,2,11.50
181,296662,0,4,4,7.27
181,296662,0,8,8,5.3
181,296662,0,16,8,4.73
256,592387,0,1,1,40.4
256,592387,0,1,1,43
256,592387,0,2,2,28
256,592387,0,4,4,20
256,592387,0,8,8,12
256,592387,0,16,8,10
260,611003,2,1,1,47.22
260,611003,2,4,4,21.38
260,611003,2,8,8,13.56
260,611003,1,16,8,10.91
260,611003,2,24,8,9.81
351,1112322,2,1,1,106.67
351,1112322,1,32,8,17.47
360,1170003,0,1,1,117.20
360,1170003,0,4,4,43
360,1170003,0,8,8,33
360,1170003,0,16,8,23
360,1170003,0,32,8,18
360,1170003,0,64,8,17
444,1778667,2,1,1,227.97
444,1778667,1,64,8,26.33
512,2364419,0,1,1,323.35
512,2364419,0,4,4,117.79
512,2364419,0,16,8,60
512,2364419,0,32,8,43
512,2364419,0,48,8,38
512,2364419,0,64,8,
546,2688507,2,1,1,466.98
546,2688507,1,128,8,39.21
662,3950819,2,1,1,885.59
662,3950819,1,256,8,74.14
722,4698779,0,1,1,816.35
722,4698779,0,32,8,104.92
722,4698779,0,64,8,84
722,4698779,0,128,8,72
722,4698779,0,192,8,73
798,5739219,2,1,1,1103
798,5739219,1,512,8,118.30
957,8252214,2,1,1,2966
957,8252214,1,1024,8,
957,8252214,1,768,8,218.70
1024,9447427,0,1,1,3333
1024,9447427,0,8,8,782.66
1024,9447427,0,64,8,195.54
1024,9447427,0,128,8,167
1024,9447427,0,192,8,152
1024,9447427,0,256,8,154
1144,,1,,,
1448,18884819,0,1,1,
1448,18884819,0,1,2,
1448,18884819,0,128,8,414
1448,18884819,0,192,8,375
1448,18884819,0,256,8,344
1448,18884819,0,384,8,348
2048,37769219,0,1,1,
2048,37769219,0,1,2,
2048,37769219,0,16,8,
2048,37769219,0,128,8,3103.97
2048,37769219,0,192,8,908
2048,37769219,0,256,8,832
2048,37769219,0,384,8,811
2048,37769219,0,512,8,782

